Starting data and time	Wednesday 15 March 2017 (15:41:36)
Ending date and time	Wednesday 15 March 2017 (15:42:07)
Time consumed	0 hours, 0 minutes, and 30 seconds
Number of datasets	3
Total number of input objects	1000
Objects included in the analysis	1000
Objects filtered out from the analysis	0
Number of clusters	6
Total number of objects in clusters	100
Objects not included in any cluster	900
Min cluster size	12
Max cluster size	29
Average cluster size	16.6666666667
**********************************
Objects included in all datasets	1000
Objects missed from 1 dataset	0
Objects missed from 2 datasets	0
Objects missed from 3 datasets	0
Objects missed from more than 3 datasets	0
